Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Average
1850,-0.336,-0.406,-0.284,-0.459,-0.213,-0.495,-0.178,-0.48,-0.204,-0.551,-0.131,-0.339727273
1851,-0.159,-0.242,-0.108,-0.288,-0.03,-0.322,0.004,-0.31,-0.021,-0.382,0.054,-0.164
1852,-0.107,-0.18,-0.058,-0.231,0.018,-0.266,0.053,-0.251,0.027,-0.323,0.101,-0.110636364
1853,-0.177,-0.253,-0.132,-0.293,-0.061,-0.338,-0.016,-0.313,-0.05,-0.389,0.027,-0.181363636
1854,-0.071,-0.145,-0.026,-0.183,0.041,-0.222,0.08,-0.206,0.048,-0.275,0.119,-0.076363636
1855,-0.19,-0.258,-0.145,-0.301,-0.08,-0.341,-0.04,-0.323,-0.071,-0.393,0,-0.194727273
1856,-0.378,-0.454,-0.335,-0.492,-0.263,-0.535,-0.22,-0.516,-0.256,-0.589,-0.18,-0.383454545
1857,-0.405,-0.479,-0.361,-0.519,-0.291,-0.561,-0.249,-0.545,-0.284,-0.616,-0.21,-0.410909091
1858,-0.4,-0.48,-0.357,-0.519,-0.282,-0.552,-0.249,-0.546,-0.276,-0.613,-0.206,-0.407272727
1859,-0.215,-0.303,-0.158,-0.342,-0.089,-0.385,-0.045,-0.37,-0.074,-0.446,0.005,-0.220181818
1860,-0.363,-0.454,-0.301,-0.493,-0.233,-0.543,-0.183,-0.52,-0.216,-0.602,-0.131,-0.367181818
1861,-0.295,-0.419,-0.208,-0.425,-0.165,-0.538,-0.052,-0.466,-0.134,-0.593,-0.004,-0.299909091
1862,-0.668,-0.777,-0.573,-0.804,-0.533,-0.942,-0.395,-0.836,-0.498,-0.987,-0.345,-0.668909091
1863,-0.195,-0.319,-0.099,-0.337,-0.054,-0.461,0.07,-0.377,-0.025,-0.518,0.12,-0.199545455
1864,-0.521,-0.632,-0.444,-0.659,-0.383,-0.778,-0.264,-0.693,-0.358,-0.831,-0.216,-0.525363636
1865,-0.258,-0.381,-0.165,-0.397,-0.119,-0.554,0.038,-0.44,-0.085,-0.605,0.085,-0.261909091
1866,-0.21,-0.35,-0.095,-0.341,-0.078,-0.478,0.059,-0.395,-0.041,-0.535,0.108,-0.214181818
1867,-0.338,-0.477,-0.231,-0.472,-0.203,-0.616,-0.06,-0.526,-0.171,-0.675,-0.015,-0.344
1868,-0.128,-0.275,-0.012,-0.257,0.001,-0.414,0.158,-0.319,0.04,-0.472,0.203,-0.134090909
1869,-0.127,-0.242,-0.047,-0.256,0.002,-0.339,0.085,-0.296,0.024,-0.399,0.132,-0.133
1870,-0.203,-0.305,-0.136,-0.327,-0.079,-0.391,-0.015,-0.356,-0.057,-0.445,0.036,-0.207090909
1871,-0.397,-0.512,-0.322,-0.521,-0.272,-0.615,-0.178,-0.56,-0.251,-0.671,-0.136,-0.403181818
1872,-0.185,-0.287,-0.109,-0.304,-0.065,-0.359,-0.01,-0.336,-0.039,-0.415,0.043,-0.187818182
1873,-0.295,-0.397,-0.218,-0.41,-0.181,-0.459,-0.132,-0.446,-0.153,-0.518,-0.079,-0.298909091
1874,-0.272,-0.373,-0.183,-0.384,-0.161,-0.43,-0.114,-0.417,-0.13,-0.486,-0.059,-0.273545455
1875,-0.508,-0.618,-0.426,-0.611,-0.406,-0.667,-0.35,-0.652,-0.372,-0.721,-0.298,-0.511727273
1876,-0.345,-0.454,-0.262,-0.443,-0.246,-0.498,-0.192,-0.489,-0.214,-0.555,-0.143,-0.349181818
1877,0,-0.106,0.093,-0.099,0.099,-0.151,0.151,-0.138,0.138,-0.203,0.207,-0.000818182
1878,0.192,0.086,0.27,0.096,0.287,0.041,0.342,0.052,0.317,-0.014,0.387,0.186909091
1879,-0.222,-0.32,-0.143,-0.31,-0.135,-0.366,-0.079,-0.352,-0.107,-0.416,-0.039,-0.226272727
1880,-0.242,-0.341,-0.159,-0.326,-0.158,-0.382,-0.102,-0.365,-0.122,-0.427,-0.056,-0.243636364
1881,-0.238,-0.338,-0.162,-0.318,-0.158,-0.377,-0.099,-0.359,-0.129,-0.422,-0.061,-0.241909091
1882,-0.244,-0.339,-0.162,-0.323,-0.164,-0.372,-0.116,-0.365,-0.132,-0.42,-0.073,-0.246363636
1883,-0.359,-0.451,-0.283,-0.433,-0.285,-0.475,-0.243,-0.474,-0.256,-0.523,-0.204,-0.362363636
1884,-0.474,-0.556,-0.406,-0.542,-0.406,-0.595,-0.353,-0.581,-0.379,-0.636,-0.32,-0.477090909
1885,-0.367,-0.456,-0.306,-0.431,-0.303,-0.484,-0.25,-0.47,-0.279,-0.523,-0.221,-0.371818182
1886,-0.338,-0.423,-0.28,-0.401,-0.275,-0.454,-0.221,-0.44,-0.252,-0.493,-0.194,-0.342818182
1887,-0.356,-0.45,-0.292,-0.42,-0.291,-0.471,-0.24,-0.465,-0.266,-0.515,-0.21,-0.361454545
1888,-0.266,-0.355,-0.193,-0.33,-0.203,-0.385,-0.148,-0.374,-0.17,-0.426,-0.113,-0.269363636
1889,-0.138,-0.244,-0.054,-0.2,-0.076,-0.254,-0.022,-0.257,-0.038,-0.304,0.015,-0.142909091
1890,-0.363,-0.47,-0.273,-0.423,-0.304,-0.489,-0.237,-0.484,-0.257,-0.536,-0.198,-0.366727273
1891,-0.289,-0.409,-0.19,-0.348,-0.23,-0.412,-0.165,-0.415,-0.178,-0.464,-0.123,-0.293
1892,-0.466,-0.576,-0.37,-0.527,-0.404,-0.587,-0.345,-0.595,-0.354,-0.641,-0.301,-0.469636364
1893,-0.543,-0.65,-0.449,-0.605,-0.481,-0.666,-0.421,-0.673,-0.433,-0.72,-0.379,-0.547272727
1894,-0.375,-0.49,-0.279,-0.435,-0.316,-0.5,-0.251,-0.507,-0.262,-0.554,-0.207,-0.379636364
1895,-0.368,-0.476,-0.269,-0.428,-0.308,-0.492,-0.244,-0.5,-0.252,-0.547,-0.198,-0.371090909
1896,-0.152,-0.258,-0.061,-0.214,-0.089,-0.269,-0.035,-0.278,-0.041,-0.322,0.011,-0.155272727
1897,-0.144,-0.242,-0.048,-0.207,-0.081,-0.26,-0.028,-0.27,-0.029,-0.314,0.021,-0.145636364
1898,-0.288,-0.389,-0.203,-0.351,-0.225,-0.401,-0.175,-0.411,-0.177,-0.453,-0.128,-0.291
1899,-0.22,-0.323,-0.131,-0.285,-0.155,-0.331,-0.108,-0.345,-0.104,-0.386,-0.058,-0.222363636
1900,-0.096,-0.196,-0.004,-0.162,-0.029,-0.214,0.022,-0.225,0.024,-0.268,0.073,-0.097727273
1901,-0.124,-0.22,-0.043,-0.189,-0.06,-0.238,-0.011,-0.246,-0.014,-0.289,0.035,-0.127181818
1902,-0.367,-0.454,-0.294,-0.429,-0.306,-0.472,-0.262,-0.479,-0.265,-0.52,-0.219,-0.369727273
1903,-0.4,-0.492,-0.329,-0.461,-0.339,-0.506,-0.293,-0.513,-0.301,-0.554,-0.255,-0.403909091
1904,-0.485,-0.573,-0.414,-0.545,-0.425,-0.588,-0.381,-0.595,-0.387,-0.635,-0.343,-0.488272727
1905,-0.336,-0.42,-0.265,-0.392,-0.28,-0.436,-0.236,-0.439,-0.241,-0.478,-0.197,-0.338181818
1906,-0.199,-0.277,-0.131,-0.253,-0.145,-0.3,-0.098,-0.296,-0.109,-0.338,-0.063,-0.200818182
1907,-0.477,-0.552,-0.411,-0.531,-0.422,-0.574,-0.379,-0.571,-0.388,-0.611,-0.344,-0.478181818
1908,-0.458,-0.532,-0.4,-0.511,-0.406,-0.555,-0.362,-0.552,-0.378,-0.592,-0.332,-0.461636364
1909,-0.448,-0.518,-0.393,-0.498,-0.398,-0.547,-0.35,-0.538,-0.37,-0.581,-0.322,-0.451181818
1910,-0.417,-0.486,-0.36,-0.466,-0.367,-0.512,-0.321,-0.503,-0.337,-0.543,-0.291,-0.418454545
1911,-0.421,-0.486,-0.365,-0.466,-0.376,-0.516,-0.325,-0.505,-0.346,-0.547,-0.299,-0.422909091
1912,-0.466,-0.528,-0.409,-0.512,-0.42,-0.562,-0.371,-0.547,-0.392,-0.59,-0.345,-0.467454545
1913,-0.447,-0.505,-0.4,-0.493,-0.402,-0.543,-0.351,-0.525,-0.381,-0.57,-0.331,-0.449818182
1914,-0.237,-0.289,-0.187,-0.285,-0.188,-0.332,-0.141,-0.312,-0.168,-0.358,-0.119,-0.237818182
1915,-0.125,-0.185,-0.078,-0.175,-0.075,-0.225,-0.026,-0.205,-0.058,-0.253,-0.006,-0.128272727
1916,-0.385,-0.441,-0.339,-0.433,-0.336,-0.486,-0.283,-0.464,-0.318,-0.514,-0.265,-0.387636364
1917,-0.493,-0.551,-0.448,-0.542,-0.444,-0.602,-0.384,-0.572,-0.424,-0.629,-0.365,-0.495818182
1918,-0.353,-0.414,-0.303,-0.409,-0.298,-0.46,-0.246,-0.437,-0.279,-0.489,-0.223,-0.355545455
1919,-0.36,-0.413,-0.315,-0.41,-0.31,-0.462,-0.257,-0.432,-0.294,-0.485,-0.238,-0.361454545
1920,-0.278,-0.328,-0.237,-0.325,-0.232,-0.378,-0.179,-0.345,-0.219,-0.398,-0.163,-0.280181818
